start_date,end_date,start_time,end_time,Open,High,Low,Close,Volume,dollar
2015-02-12,2015-02-12,11:18:32.646,11:21:04.288,126.65,126.7596,126.38,126.4,790330,100004617.92070088
2015-02-12,2015-02-12,11:21:04.307,11:23:50.123,126.39,126.4732,126.26,126.2766,791443,100004995.18180092
2015-02-12,2015-02-12,11:23:50.142,11:26:56.682,126.285,126.47,126.22,126.4,791536,100005354.07360087
2015-02-12,2015-02-12,11:26:56.682,11:32:04.959,126.4,126.95,126.31,126.4371,791344,100046467.77910103
2015-02-12,2015-02-12,11:32:05.537,11:37:03.903,126.43,126.49,126.31,126.406,791839,100143499.26130095
2015-02-12,2015-02-12,11:37:04.021,11:41:29.388,126.4099,126.8207,126.14,126.189,791527,100087451.63590106
2015-02-12,2015-02-12,11:41:29.619,11:43:09.380,126.187,126.21,125.9,125.91,797261,100582260.95770115
2015-02-12,2015-02-12,11:43:09.380,11:44:52.917,125.91,126.1673,125.78,125.8101,789871,100009636.71430123
2015-02-12,2015-02-12,11:44:52.918,11:46:27.196,125.8101,125.82,125.57,125.76,795448,100006769.52780126
2015-02-12,2015-02-12,11:46:27.196,11:49:41.459,125.76,125.9,125.68,125.896,798785,100479771.0275014
2015-02-12,2015-02-12,11:49:41.462,11:52:15.202,125.9,126.15,125.87,126.13,789868,100003544.0138016
2015-02-12,2015-02-12,11:52:15.475,11:57:11.212,126.13,126.23,126.03,126.1,795126,100294759.34270161
2015-02-12,2015-02-12,11:57:11.212,12:02:21.451,126.1,126.32,126.0105,126.29,790248,100021563.8280017
2015-02-12,2015-02-12,12:02:21.451,12:08:34.502,126.29,126.426,126.25,126.389,791909,100079483.0521016
2015-02-12,2015-02-12,12:08:34.502,12:14:18.398,126.389,126.49,126.27,126.39,790711,100011656.80480136
2015-02-12,2015-02-12,12:14:18.398,12:21:26.942,126.39,126.66,126.35,126.63,790359,100001223.33810136
2015-02-12,2015-02-12,12:21:26.943,12:28:09.993,126.63,126.64,126.45,126.56,790203,100001607.71520127
2015-02-12,2015-02-12,12:28:09.993,12:34:50.939,126.56,126.7399,126.53,126.67,790292,100092972.15420122
2015-02-12,2015-02-12,12:34:50.950,12:43:01.686,126.67,126.67,126.43,126.595,790477,100124144.85710126
2015-02-12,2015-02-12,12:43:01.730,12:51:18.096,126.6,126.63,126.29,126.3,789470,100001889.89350136
2015-02-12,2015-02-12,12:51:18.096,13:02:43.946,126.3,126.48,126.26,126.42,791576,100047228.70190133
2015-02-12,2015-02-12,13:02:43.946,13:11:01.557,126.4201,126.58,126.32,126.3699,790837,100042391.78990123
2015-02-12,2015-02-12,13:11:01.613,13:18:17.241,126.37,126.5,126.1375,126.15,791535,100005657.0267012
2015-02-12,2015-02-12,13:18:17.241,13:23:46.540,126.15,126.2692,125.92,125.95,793241,100007068.65800098
2015-02-12,2015-02-12,13:23:46.540,13:29:43.166,125.95,126.1599,125.92,126.12,793472,100003941.28760098
2015-02-12,2015-02-12,13:29:43.166,13:37:05.004,126.12,126.34,126.0347,126.3101,793983,100238662.48560084
2015-02-12,2015-02-12,13:37:05.005,13:44:53.584,126.31,126.53,125.98,126.49,789286,100009279.54810081
2015-02-12,2015-02-12,13:44:55.273,13:54:31.904,126.4872,127.3799,126.31,126.45,790976,100005167.51180084
2015-02-12,2015-02-12,13:54:31.904,14:02:50.882,126.45,126.57,126.41,126.52,790687,100026722.61650081
2015-02-12,2015-02-12,14:02:50.882,14:11:47.297,126.52,126.5474,126.24,126.4201,792435,100204969.55660091
2015-02-12,2015-02-12,14:11:48.204,14:20:19.501,126.43,126.5237,126.3,126.44,789519,100006147.13500091
2015-02-12,2015-02-12,14:20:19.501,14:30:37.758,126.44,126.455,126.2525,126.37,791299,100004787.39310089
2015-02-12,2015-02-12,14:30:38.388,14:40:55.174,126.37,126.4301,125.76,126.2299,791985,100002014.0692009
2015-02-12,2015-02-12,14:40:55.234,14:45:44.868,126.2299,126.59,126.21,126.57,791030,100008638.38250099
2015-02-12,2015-02-12,14:45:44.868,14:53:57.373,126.56,126.62,126.43,126.47,790312,100010572.94440103
